ti,ab,py
mobile apps for the management of comorbid overweight/obesity and depression/anxiety: a  ,"objective. this  aimed at  for scientific  on mobile apps for the management of comorbid overweight/obesity and depression/anxiety and providing a brief and comprehensive  of their main features, targeted , and relevant . . a bibliographical  was performed in , psycnet, web of science, , and lilacs . the terms ""obesity"" and ""overweight"" were introduced in combination with ""anxiety"" and ""depression"" and ""mobile app (application),"" ""smartphone app (application),"" ""android app (applicattion),"" ""ios app (application),"" ""mobile health app (application),"" and ""mhealth app (application)."" . the initial  eliciting 204 citations was reduced to 7 relevant  (4 original , 1 brief communication, and 2  protocols). all publications were from the last five years, most were produced by  teams from the united states. all had adult samples, and  mostly followed a cognitive behavioral framework. regarding mobile apps, five  only used one to monitor weight and physical activity, one  to provide therapy to improve psychological wellness, and one  to monitor cognitions and emotions. no mobile app was found for the simultaneous management of overweight/obesity and depression/anxiety. . the prevalence and costs related to overweight/obesity and depression/anxiety are significant and likely to increase. very often these  overlap; thus, it would be recommendable to treat their comorbidity simultaneously. nevertheless, no mobile app has been designed for this , which would help to reduce service provision costs and make  more easily accessible for .",2020
concussion and mildtraumatic brain injury in rural settings: epidemiology and specific health care considerations," mildtraumatic brain injury (mtbi) and concussions cause significant morbidity. to date, synthesis of specific health care disparities and gaps in care for rural mtbi/concussion  remains needed.  a comprehensive   was performed using   for english  with keywords rural and (concussion or mild traumatic brain injury) from 1991 to 2019. eighteen  focusing on rural epidemiology (n = 5), management/cost (n = 5), military (n = 2), and concussion prevention/return to play (n = 6) were included.  mtbi/concussion incidence was higher in rural compared with urban areas. compared with urban , rural  were at increased risk for vehicular injuries, lifetime number of concussions, admissions for observation without neuroimaging, and injuryrelated costs. rural  were less likely to utilize ambulatory and mental health services following mtbi/concussion. rural secondary schools had decreased access to certified personnel for concussion , and decreased use of standardized assessment instruments/neurocognitive . while school coaches were aware of returntoplay laws, mtbi/concussion education rates for athletes and parents were suboptimal in both settings. rural veterans were at increased risk for postconcussive symptoms and posttraumatic stress. telemedicine in rural/lowresource areas is an emerging tool for rapid , triage, and followup.  rural  are at unique risk for mtbi/concussions and health care costs. barriers to care include lower socioeconomic status, longer distances to regional medical center, and decreased availability of neuroimaging and consultants. due to socioeconomic and distance barriers, rural schools are less able to recruit personnel certified for concussion . telemedicine is an emerging tool for remote triage and .",2020
telehealth  for schizophreniaspectrum disorders and clinical highrisk for psychosis individuals: a scoping ,": despite its increased use in mental health, both health care provision by telehealth and  are in the early stages. videoconferencing, a telehealth subfield, has been mainly used for the medication management and delivery of psychological  for mood, adjustment and anxiety disorders, and to a lesser extent for psychotic disorders. objectives: the focus of this scoping  is on  using videoconferencing for  for individuals with a diagnosis of schizophreniaspectrum disorder and those who may be considered to be in the very early stages of psychosis (clinical high risk). the aim of this  is to assess the feasibility, acceptability and clinical benefits of videoconferencing  and compare them with facetoface  for this population. : a scoping  of peer original  on the use of videoconferencing for   in individuals with a schizophreniaspectrum disorder or at clinical high risk. : out of 13,750 citations, 60  were retrieved for detailed ,  in 14 eligible  (n = 439 individuals). there was no   on videoconferencing  for individuals at clinical high risk. all the   that videoconferencing implementation was feasible, and most of them described high acceptance by individuals with a schizophreniaspectrum disorder. , selection bias of  was high, and overall  quality was poor. : videoconferencing  seem feasible for  with schizophreniaspectrum disorder who showed high acceptance of this  modality.",2020
/cost   of child mental health problems in low and middleincome countries (lamic):  ,":this   protocol aims to  the evidence of  and cost of  for children and adolescents with, or at risk of developing mental disorders in low and middleincome countries (lamics).:we will  medline ovid, em ovid,  ovid, cinahl, lilacs, bdenf and ibecs. we will include  and non  , economic modelling  and economic .  are 6 to 18 yearold children and adolescents who live in a lamic and who present with, or are at high risk of developing, one or more of the : depression, anxiety, behavioural disorders, eating disorders, psychosis, substance abuse, autism and intellectual disabilities as defined by the dsmv.  which address suicide, selfharm will also be included, if identified during the extraction process. we will include in person or ehealth  which have some evidence of  (in relation to clinical and/or functional ) and which have been delivered to young people in lamics. we will consider a wide range of delivery channels (e.g., in person, web or virtual, phone), different practitioners (healthcare practitioners, teachers, lay health care providers) and sectors (i.e., primary, secondary and tertiary health care, education, guardianship councils). in the pilot of  procedures, 5% of all references will be  by two . divergences will be resolved by one expert in mental health .  will be retrained afterwards to ensure reliability. the remaining 95% will be  by one . covidence web tool will be used to perform  of references and full text , and  extraction.:the protocol of this   will be disseminated in a peer journal and presented at relevant conferences. the  will be presented descriptively and, if possible,  will be conducted. ethical approval is not needed for anonymised secondary .:the   could help health specia and other professionals to identify evidence strategies to deal with child and adolescents with mental health .",2020
feasibility of remotely supervised transcranial direct current stimulation and cognitive remediation: a  ,"with technological advancements and an aging population, there is growing interest in delivering  at home. transcranial direct current stimulation (tdcs) and cognitive remediation (cr) as well as cognitive training (ct) have been widely , but mainly in laboratories or hospitals. thus, the objectives of this  are to  feasibility and the  components to support the domiciliary administration of tdcs and cr. we performed a   of electronic , websites and reference  of included  from the first date available until october 31, 2018.  included had to meet the following criteria: original work  in english using human subjects, majority of tdcs or cr  administered remotely. a total of 39  were identified (16 tdcs, 23 cr/ct, 5 using both tdcs & ct). four  were single case  and two were multiple case . the remaining 33  had a range of 9135 . five tdcs and nine cr/ct  were double blind   . most  focused on schizophrenia (8/39) and multiple sclerosis (8/39).   suggests the feasibility of delivering tdcs or cr/ct remotely with the support of information and communication technologies.",2020
suicide prevention using selfguided digital : a   and  of   ,": digital  that deliver psychological selfhelp provide the opportunity to reach individuals at risk of suicide who do not access traditional health services. our primary objective was to  whether direct (targeting suicidality) and indirect (targeting depression) digital  are  in reducing suicidal ideation and behaviours, and our secondary  assessed whether direct  were more  than indirect . : in this   and , we  online  medline, , , and  central for     between  inception to may 21, 2019. superiority    of selfguided digital  (app or web , which delivered theory therapeutic content) were included if they  suicidal ideation, suicidal plans, or suicide attempts as an . noninferiority    were excluded to ensure comparability of the .  were extracted from  , and intentiontotreat  were used if available. the primary  was the difference in mean scores of validated suicidal ideation measures (hedges' g) with the associated 95% ci for the  of digital   on suicidal ideation. we also present funnel plots of the primary  measure (suicidal ideation) for direct and indirect  to assess for publication bias. we calculated i2 (with i2 ci) values to  heterogeneity. we used  modelling for the  to assess the primary and secondary . this  is registered with prospero, crd42018102084. findings: the   yielded 739  (including manual ) for suicidality and 8842  for depression. after , 14   on 16  were included in the narrative  and . the 16  (ten on direct  and six on indirect ) provided   for 4398 . the primary  of overall post  for suicidal ideation was small but significant immediately following the active  phase (hedges' g −0·18, 95% ci −0·27 to −0·10, p<0·0001; i2=0%, i2 ci 0·0–47·9). the secondary objective, comparing direct and indirect , showed that direct  (targeting suicidality) significantly reduced suicidal ideation at post (g −0·23, 95% ci −0·35 to −0·11, p<0·0001; i2=17·6%, i2 ci 0·0–58·6), but indirect  (targeting depression) failed to reach significance (g −0·12, 95% ci −0·25 to 0·01, p=0·071; i2=0%, i2 ci 0·0–30·7). interpretation: selfguided digital  directly targeting suicidal ideation are  immediately post. indirect  were not significant for reducing suicidal ideation. our findings suggest that digital  should be promoted and disseminated widely, especially where there is a lack of, or minimal access to, health services. funding: australian national health and medical  council.",2020
"efficacy,  relationship, costs and benefits of utilizing telepsychiatry for the management of posttraumatic stress disorder (ptsd): a  ",": posttraumatic stress disorder (ptsd) is one of the most common psychiatric disorders found among victims of disaster, kidnapping, accidents, sexual assaults and war in indonesia. , lacking and unequal distribution of psychiatric medical personnel remains a barrier to its management. this  aims to introduce and evaluate the potential contribution of telepsychiatry to the management of ptsd  on  . : original  were obtained from , science direct, proquest, high wire, and elsevier clinical key . : a total of 125  were found, of which 15  (12   , 2 open  and 1 pilot ) fulfilled the inclusion criteria. a total of 991 subjects were found with a followup period ranging between 5 weeks and 18 months. telepsychiatry is an innovative use of technology to aid the delivery of ptsd  in areas difficult to reach. the quality of care given by telepsychiatry both through video conferencing as well as web and application is comparable to that of facetoface therapy.  satisfaction, quality of doctor relationship also remains high, with lower costs and shorter therapeutic time when compared to facetoface therapy. : various  have shown that telepsychiatry is an  solution for the management of ptsd.  have also  that the quality of  through telepsychiatry is as  as facetoface therapy, with greater efficiency. countries, especially those with a low  health professional ratio, should be encouraged to develop telepsychiatry  to manage ptsd.",2020
therapeutic strategies for social anxiety disorder: where are we now?,": classical wellestablished  of social anxiety disorder (sad) are now complemented by more recent therapeutic strategies. this  aims to  available therapies for sad and discuss recent evidence findings on the management of this disorder. areas covered: recent guidelines recommend psychotherapy, particularly cognitivebehavioral therapy (cbt), and pharmacotherapy, as firstline  of  with sad, without a clear superiority of one option over the other. cbt includes classical approaches such as in vivo exposure to social situations and cognitive therapy, but new modalities and techniques have been recently developed: thirdwave approaches, internetdelivered therapy, virtual reality exposure, and cognitive bias modification. selective serotonin reuptake inhibitors and serotoninnorepinephrine reuptake inhibitors have been also extensively  and shown to be  in sad. two alternative strategies have been developed to treat sad with disappointing : cognitive bias modification, and pharmacological augmentation of psychotherapy using dcycloserine during exposure sessions. expert opinion: personalized  for sad  are now available. innovative strategies such as online psychotherapy and virtual reality exposure are useful alternatives to cbt and ssris. future developments and optimization of attention bias modification and of pharmacological augmentation of psychotherapy can be promising.",2019
"features, , and challenges in mobile health  for  living with chronic diseases: a  of  ",": mobile health (mhealth) technology has the potential to play a key role in improving the health of  with chronic noncommunicable diseases. objectives: we present a  of   of mhealth in chronic disease management, by showing the features and  of mhealth , along with associated challenges in this rapidly growing field. : we  the bibliographic  of , scopus, and  to identify   of mhealth  with advanced technical c (e.g., internetlinked apps, interoperation with sensors, communication with clinical platforms, etc.) utilized in  clinical . the original  included the  were synthesized according to their  features, the targeted diseases, the primary , the number of  and their average age, as well as the total followup duration. : we identified 5  respecting our inclusion and exclusion criteria, which  30 mhealth . the highest percentage of the  targeted  with diabetes (n = 19, 63%), followed by  with psychotic disorders (n = 7, 23%), lung diseases (n = 3, 10%), and cardiovascular disease (n = 1, 3%). 14  showed  : 9 in diabetes management, 2 in lung function, and 3 in mental health. significantly positive  were  in 8  (n = 8, 47%) from 17  assessing glucose concentration, one  assessing physical activity, 2  (n = 2, 67%) from 3  assessing lung function parameters, and 3 mental health  assessing nback performance, medication adherence, and number of hospitalizations. divergent features were adopted in 14  with significantly positive , such as personalized goal setting (n = 10, 71%), motivational feedback (n = 5, 36%), and alerts for health professionals (n = 3, 21%). the most significant found challenges in the development and  of mhealth  include the design of  with high quality, the construction of robust  in combination with health professional inputs, and the identification of tools and  to improve  adherence. : this  found mixed evidence regarding the health benefits of mhealth  for  living with chronic diseases. further rigorous  are needed to assess the  of personalized mhealth  toward the optimal management of chronic diseases.",2019
what works and what doesn’t work? a   of digital mental health  for depression and anxiety in young people,": a major challenge in providing mental health  for young people is making such  accessible and appealing to those most in need. online and app forms of therapy for mental health are burgeoning. it is therefore crucial to identify features that are most  and engaging for young users. objectives: this   a   and  of digital mental health  and their  in addressing anxiety and depression in young people to determine factors that relate to , adherence, and engagement with such . : a mixed  approach was taken, including a  of 9    that compared use of a digital  for depression in young people to a no  , and 6 comparing the  to an active  . a thematic  and narrative synthesis of 41  was also performed. : the pooled  size of digital mental health  on depression in comparison to a no  was small (cohen’s d = 0.33, 95% ci 0.11 to 0.55), while the pooled  size of  comparing an   to an active  showed no significant differences (cohen’s d = 0.14, 95% ci .04 to 0.31). pooled  sizes were higher when supervision was involved ( with no : cohen’s d = 0.52, 95% ci 0.23 to 0.80;  with active : cohen’s d = 0.49, 95% ci 0.11, 1.01). engagement and adherence rates were low. qualitative  revealed that users liked  with a gamelike feel and relatable, interactive content. educational materials were perceived as boring, and users were put off by nonappealing interfaces and technical glitches. : digital  work better than no  to improve depression in young people when  of different  are pooled together. , these  may only be of clinical significance when use is highly supervised. digital  do not work better than active alternatives regardless of the level of support. future  need to move beyond the use of digital educational materials, considering other ways to attract and engage young people and to ensure relevance and appeal.",2019
a   and  of unguided electronic and mobile health technologies for chronic pain  is it time to start prescribing electronic health applications?,"objective: electronic (ehealth) and mobile (mhealth) technologies may be a useful adjunct to clinicians treating  with chronic pain. the primary aim of this  was to investigate the  of ehealth and mhealth  that do not require clinician contact or feedback on painrelated  recommended by the initiative on , measurement, and pain assessment in clinical  (immpact) guidelines in adults with chronic pain. : we  four  and included english language    of ambulatory adults with chronic pain from january, 1 2000, to january 31, 2018, with  that are independent of clinician contact or feedback. in the ,  were assessed at short (three months or less), intermediate (four to six months), and longterm (seven or more months) followup. : seventeen    (n = 2,496) were included in the . both ehealth and mhealth  had a significant  on pain intensity at short and intermediateterm followup. similarly, a significant but small  was observed for depression at short and intermediateterm followup and selfefficacy at shortterm followup. finally, a significant  was observed for pain catastrophizing at shortterm followup. : ehealth and mhealth  had significant  on multiple short and intermediateterm  measures recommended in the immpact guidelines. given widespread availability and low cost to , clinicians treating  with chronic pain could consider using ehealth and mhealth  as part of a multidisciplinary pain  strategy.",2019
mobile health for first nations populations:  ,": the ubiquitous presence and functionality of mobile devices offers the potential for mobile health (mhealth) to create equitable health opportunities. while mhealth is used among first nations populations to respond to health challenges, the characteristics, uptake, and  of these  are unclear. objective: this  aimed to identify the characteristics of mhealth  (eg,  locations, health topic, and modality) evaluated with first nations populations and to  the   for  use, user perspectives including cultural responsiveness, and clinical . in addition, the  sought to identify the presence of first nations expertise in the design and  of mhealth  with first nations populations. : the  of this   were detailed in a registered protocol with the international prospective register of   (prospero, crd42019123276).   of peer, scientific  were conducted across 7  in october 2018. eligible  had a primary focus on mhealth  with experimental or quasiexperimental design to respond to a health challenge with first nations people from canada, australia, new zealand, and the united states. two  independently  records for eligibility and assessed risk of bias using the joanna briggs institute check.  were synthesized narratively owing to the mix of  designs, , and . the  was  in accordance with the preferred  items for   and  statement. :  yielded 1053 unique records, after  and , 13  (5    and 8 quasiexperimental designs) were included in the final .  were conducted in australia (n=9), the united states (n=2), and new zealand (n=2). the most common health challenge addressed was mental health and suicide (n=5).  modalities included text messaging (n=5), apps (n=4), multimedia messaging (n=1), tablet software (n=1), or a combination of short messaging service (sms) and apps (n=1).  showed mixed engagement with the  (n=3); favorable user perspectives, including acceptability and cultural appropriateness (n=6); and mixed  for clinical  (n=10). a diverse range of risks of bias were identified, the most common of which included a lack of clarity about allocation and blinding protocols and   for    and a lack of   and single  measures for quasiexperimental designs. first nations expertise informed all mhealth , through  (n=8), affiliation with first nations bodies (n=3),   design (n=5), first nations reference  (n=5), or a combination of these. : mhealth modalities, including sms and apps, appear favorable for delivery of health  with first nations populations, particularly in the area of mental health and suicide prevention. importantly, first nations expertise was strongly embedded within the , augmenting favorable use and user engagement. , evidence of efficacy is limited.",2019
 protocol for a   of evidence for digital  for comorbid excessive drinking and depression in communitydwelling populations," excessive drinking and depression are frequently comorbid and make a substantial contribution to the global noncommunicable disease burden. a range of   and  exist for either excessive drinking or depression alone, including a positive emerging evidence  for the use of digital . computerised and/or smartphone delivered advice could provide flexible, coordinated support for  with comorbid excessive drinking and depression. , to date, no   of the evidence has been conducted focused on the  of digital  for this specific comorbid population. this   will identify and evaluate the  of digital  for reducing comorbid excessive drinking and depression in communitydwelling populations.  and  we will  medline, the  , central, cinahl, , eric and sci from inception to end of july 2019 for    that evaluate any personalised digital  for comorbid excessive drinking and depression and  in any language. primary  will be changes in quantity of alcohol consumed and depressive symptoms. ,  extraction and risk of bias assessment will be undertaken independently by two , with disagreements resolved through discussion.   will be used to synthesise the  collected relating to the primary  of interest. ethics and dissemination as a  , ethical approval is not needed. findings will be  in peer journals and presented at conferences.  registration number crd42019130134.",2019
 of text messaging  for the management of depression: a   and ,NA,2019
is cyberchondria a new transdiagnostic digital compulsive syndrome? a   of the evidence,": cyberchondria (cyb) has been described relatively recently as a behaviour characterized by excessive online  for medical information that is associated with increasing levels of health anxiety. although cyb has received some attention from , there is no consensus about many of its aspects.",2020
attrition and adherence in smartphonedelivered  for mental health problems: a  and  ,"objectives: although the efficacy of smartphonedelivered  for mental health problems is emerging,    () of smartphone  are characterized by high rates of attrition and low adherence. high attrition and low adherence may threaten the validity of  findings, so a better understanding of these phenomena is needed. we  attrition and adherence in 70  of smartphone .",2020
the safety and efficacy of pde5inhibitorsvardenafil on treating diabetes mellitus erectile dysfunction: a protocol for   and  ,": diabetic mellitus erectile dysfunction (dmed) refers to erectile dysfunction (ed) secondary to diabetes. as people's lifestyle changes and the population ages, the incidence of dmed continues to increase. many clinical  have proven that pde5inhibitorsvardenafil has a significant  in the  of diabetic mellitus erectile dysfunction. in this  , we aim to evaluate the  and safety of pde5inhibitorsvardenafil for diabetic mellitus erectile dysfunction.",2019
 mobile technologies to support older adults with dementia through the lens of personhood and human needs: scoping ,": with the world's rapidly growing older adult population, there is an increase in the number of people living with dementia. this growth leads to a strain on their caregivers and our health care  and to an increased attention on mitigating strain by using mobile technology to sustain the independence of people with dementia. , less attention is given to whether these technologies meet the stated and unstated needs of people with dementia.",2019
"efficacy of synchronous telepsychology  for people with anxiety, depression, posttraumatic stress disorder, and adjustment disorder: a rapid evidence assessment","telepsychology holds promise as a  delivery  that may increase access to services as well as reduce barriers to  accessibility. the aim of this rapid evidence assessment was to assess the evidence for synchronous telepsychology  for 4 common mental health  (depression, anxiety, posttraumatic stress disorder, and adjustment disorder).     between 2005 and 2016 that investigated synchronous telepsychology (i.e., telephone delivered, video teleconference delivered, or internet delivered text ) were identified through  . from an initial yield of 2,266 , 24 were included in the . ten  investigated the  of telephonedelivered , 11 investigated the  of video teleconference (vtc) , 2 investigated internetdelivered text , and 2 were  of multiple telepsychology modalities. there was sufficient evidence to support vtc and telephonedelivered  for mental health . the evidence for synchronous internetdelivered text  was ranked as ""unknown."" telephonedelivered and vtcdelivered psychological  provide a mode of  delivery that can potentially overcome barriers and increase access to psychological . (  record (c) 2019 , all rights reserved).",2019
evaluating the role of digital  design in   and adherence to etherapy programs for eating disorders: a   and ,"objective: despite the existence of  which document the  of online therapies, there is little consensus regarding the exact components of online  delivery that are most  in maintaining user engagement and reducing eating disorder (ed) symptomology. the current  and  aimed to determine which components of web, ed selfhelp  are associated with lower attrition and improved therapeutic .",2019
a   exploring how young people use online forums for support around mental health issues,": young people increasingly look towards the internet for support. online forums have been developed to provide mental health support, but they have received little attention in the  to date. aims: to  the existing   how individuals use online forums to obtain support for mental health difficulties. : a   of electronic  was conducted to identify empirical  in this area. the  that met the inclusion criteria and satisfied quality assessment  were  for key themes. : twentyone  were found. three common themes in the  were associated with opportunities of the technology: (1) providing stand alone or complementary informal support, (2) providing informational, emotional and infomotional support, and (3) making use of the specific practical opportunities afforded by forum technology. a further three themes were associated with challenges: (1) managing the expectations of forum users, (2) ensuring service user safety, and (3) navigating the technical challenges associated with forums. : the  highlights the potential for individuals to access dynamic and responsive support within online forums. additionally, it reflects upon the major areas that mental health professionals need to be aware of when entering into this arena.",2019
speech pathologists and professional interpreters managing culturally and linguistically diverse adults with communication disorders: a  ,": speech pathologists who work with culturally and linguistically diverse (cald) adults with acquired communication disorders (acds), in predominately englishspeaking countries, are legally and ethically bound to work with professional interpreters to overcome language barriers and provide equitable services. as levels of migration and ageing populations continue to rise globally, there will be an increasing need for speech pathologists to work with professional interpreters to manage the growing numbers of cald adults with acds. speech pathologists and professional interpreters face unique challenges when working together due to the need to focus on the intricacies of communication.",2019
use of medicinal cannabis and synthetic cannabinoids in posttraumatic stress disorder (ptsd): a  ," and objectives: posttraumatic stress disorder (ptsd) is a common psychiatric disorder  from a traumatic event, is manifested through hyperarousal, anxiety, depressive symptoms, and sleep disturbances. despite several therapeutic approaches being available, both pharmacological and psychological, recently a growing interest has developed in using cannabis and synthetic cannabinoids stems from their consideration as more efficient and better tolerated alternatives for the  of this . the present  aims to evaluate the clinical and therapeutic potentials of medical cannabis and synthetic cannabinoids in treating ptsd .",2019
adherence  in     manualized multisession online :   of practices and proposal for  standards,: adherence reflects the extent to which individuals experience or engage with the content of online  and poses a major challenge. neglecting to  and  adherence and its relation to  can compromise the interpretation of  findings.,2019
evidence cognitive rehabilitation:   of the  from 2009 through 2014,"objectives: to conduct an updated,   of the clinical , classify   on the strength of  design, and derive consensual, evidence clinical recommendations for cognitive rehabilitation of people with traumatic brain injury (tbi) or stroke.",2019
"ehealth  to support caregivers of people with dementia may be proven , but are they implementationready?","objectives: a variety of health services delivered via the internet, or ""ehealth ,"" to support caregivers of people with dementia have shown evidence of , but only a small number are put into practice. this  aimed to investigate whether, how and why their implementation took place.",2019
shortterm versus longterm psychotherapy for adult psychiatric disorders: a protocol for a   with  and  sequential ,": psychiatric disorders are highly prevalent and associated with great symptomatic, functional, and health economic burdens. psychotherapy is among the recommended and used  for most psychiatric disorders and is becoming widely accessible in mental health . the  of specific forms of psychotherapy (e.g., psychodynamic therapies, cognitive and behavioral therapies, humanistic therapies, and  therapies) have been assessed previously in  , but the appropriate psychotherapy duration for psychiatric disorders has not been . the aim of this   will be to synthesize the evidence of the  of shortterm compared with longterm psychotherapy for all adult psychiatric disorders.",2019
crisisplanning  for people with psychotic illness or bipolar disorder:   and ,": mental health services lack a strong evidence  on the most   to reduce compulsory admissions. , some  suggests a positive impact of crisisplanning  in which  are involved in planning for their future care during a mental health crisis.",2019
technology delivered  for depression and anxiety in children and adolescents: a   and ,"depression and anxiety are common during adolescence. whilst   are available  services are limited  in many adolescents being unable to access  help. delivering mental health  via technology, such as computers or the internet, offers one potential way to increase access to psychological . the aim of this   and  was to update previous work and investigate the current evidence for the  of technology delivered  for children and adolescents (aged up to 18 years) with depression and anxiety. a   of eight electronic  identified 34    involving 3113 children and young people aged 618. the  evaluated computerized and internet cognitive behavior therapy programs (cbt: n = 17), computerdelivered attention bias modification programs (abm: n = 8) cognitive bias modification programs (cbm: n = 3) and other  (n = 6). our  demonstrated a small  in favor of technology delivered  compared to a    : g = 0.45 [95% ci 0.29, 0.60] p < 0.001. cbt  yielded a medium  size (n = 17, g = 0.66 [95% ci 0.420.90] p < 0.001). abm  yielded a small  size (n = 8, g = 0.41 [95%ci 0.080.73] p < 0.01). cbm and 'other'  failed to demonstrate a significant benefit over  . type of  , problem severity, therapeutic support, parental support, and continuation of other ongoing  significantly influenced  sizes. our findings suggest there is a benefit in using cbt  technology delivered  where access to traditional psychotherapies is limited or delayed.",2019
"mobile  monitoring  from a benchmarking aspect: challenges, open issues and recommended solutions","this  presents comprehensive insights into mobile  monitoring  (mpmss) from  and benchmarking aspects on the basis of two critical directions. the current  criteria of mpmss  on the architectural components of mpmss and possible solutions are discussed. this  highlights four serious issues, namely, multiple  criteria, criterion importance, unmeasurable criteria and  variation, in mpms benchmarking. multicriteria decisionmaking (mcdm)  techniques are proposed as  solutions to solve these issues from a  aspect. this  aspect involves a framework for benchmarking mpmss on the basis of mcdm to rank available mpmss and select a suitable one. the benchmarking framework is discussed in four steps. firstly, preprocessing and identification procedures are presented. secondly, the procedure of weight calculation  on the bestworst  (bwm) is described. thirdly, the development of a benchmark framework by using the vikor  is introduced. lastly, the proposed framework is validated.",2019
strategies to implement and monitor inhome transcranial electrical stimulation in neurological and psychiatric  populations: a  ,: transcranial electrical stimulation is a promising technique to facilitate behavioural improvements in neurological and psychiatric populations. recently there has been interest in remote delivery of stimulation within a 's home.,2019
a   of specia in dementia care services versus standard in dementia care in acute hospitals,": specia in dementia units (sidu) have been developed to address adverse  often experienced by people living with dementia admitted to acute hospitals. , the evidence  of their  remains limited.",2019
toddler  for autism spectrum disorder: a  of diagnostic accuracy,"great efforts focus on early detection of autism spectrum disorder, although some scientists and policymakers have questioned early universal . the aim of this  was to evaluate the diagnostic accuracy of the different  tools. several electronic  were used to identify  . a bayesian model was used to estimate the  accuracy. the pooled sensitivity was 0.72 (95% ci 0.610.81), and the specificity was 0.98 (95% ci 0.970.99). sub  to remove heterogeneity indicated sensitivity was 0.77 (95% ci 0.690.84), and specificity was 0.99 (95% ci 0.970.99; sd ≤ 0.01). level 1  tools for asd showed consistent statistically significant  and therefore are adequate to detect autism at 1436 months.",2019
veterans affairs and the department of defense mental health apps: a   ,"in the present  , we  the feasibility, usability, efficacy, and  of mental healthrelated apps created by the veterans affairs (va) or the department of defense (dod). twentytwo  were identified,  on 8 of the 20 va/dod mental health selfmanagement and  companion apps.  inclusion criteria were  that  original  on the usability, acceptability, feasibility, efficacy, and , or attitudes toward the app. we collected  from each  regarding type of , sample size,  population, followup period, measures/assessments, and  of findings. the apps have been  with  seeking ,  with elevated mental health symptoms, and clinicians. the strongest area of support for the apps is regarding evidence of their feasibility and acceptability.  support for efficacy and  of the apps is scarce with exceptions for two apps (ptsd coach, virtual hope box). until more evidence accumulates, clinicians should use their judgment and be careful not to overstate the potential benefits of the apps. (  record (c) 2019 , all rights reserved).",2019
"usability of health information websites designed for adolescents:  , neurodevelopmental model, and design brief",": adolescence is a unique developmental period characterized by biological, social, and cognitive changes, as well as an interest in managing one's own health care. many adolescents use the internet to seek health care information. , young people face barriers before they can understand and apply the health information that they access on the web. it is essential that usability of adolescent health websites on the internet is improved to help adolescents overcome these barriers and allow them to engage successfully with web health care content.",2019
smartphone apps targeting alcohol and illicit substance use:   in in commercial app stores and critical content ,": smartphone apps promise to enhance the reach of evidence  (cognitive behavior therapy, contingency management and therapeutic education ) for populations with substance use disorders, with minimal disruption to health . , further  are needed to  evaluate smartphone apps targeting alcohol and illicit substances.",2019
technology alcohol  in primary care:  ,": primary care settings are uniquely positioned to reach individuals at risk of alcohol use disorder through technologydelivered behavioral health . despite emerging  , few efforts have been made to  the collective findings from these delivery approaches.",2019
a   of technologyassisted  for comorbid depression and substance use,": mental health  disseminated via, or accessed using, digital technologies are an innovative new  modality for managing comorbid depression and substance use disorder. the present   assessed the current state of this .",2019
 of genetic polymorphisms on alzheimer's disease  : an update,"genetic variations in individuals may cause differences in the response to cholinesterase inhibitor drugs used in the  of alzheimer's disease (ad). through this , we aimed to understand the potential relationship between genetic polymorphisms and  response in ad. we conducted a   of the   from 2006 to 2018 that assessed the relationship between genetic polymorphisms and the pharmacotherapeutic  of  with ad. via several possible mechanisms, genetic polymorphisms of many genes, including abca1, apoe3, cyp2d6, chat, chrna7, and esr1, appear to have strong correlations with the  response of  with ad. indeed, these genetic polymorphisms, either in the form of single nucleotide polymorphisms or direct changes to one or more amino acids, have been shown to cause differences in the therapeutic response. in , our findings indicate that genetic polymorphisms should be considered in the management of ad to achieve both  and efficient   in terms of cost and prognosis.",2019
computerassisted cognitivebehavior therapy for depression: a   and ,objective: to evaluate the efficacy of computerassisted forms of cognitivebehavior therapy for major depressive disorder (mdd) and  the role of clinician support and other factors that might affect .,2019
technological  for medication adherence in adult mental health and substance use disorders: a  ,": medication adherence is critical to the  of psychopharmacologic therapy. psychiatric disorders present special adherence considerations, notably an altered c for decision making and the increased street value of  substances. a wide range of  designed to improve adherence in mental health and substance use disorders have been ; recently, many have incorporated information technology (eg, mobile phone apps, electronic pill dispensers, and telehealth). many  components have been  across different disorders. furthermore, many  incorporate multiple components, making it difficult to evaluate the  of individual components in isolation.",2019
"factors affecting implementation of digital health  for people with psychosis or bipolar disorder, and their family and friends: a  ","digital health  present an important opportunity to improve health care for people with psychosis or bipolar disorder, but despite their potential, integrating and implementing them into clinical settings has been difficult worldwide. this  aims to identify factors affecting implementation of digital health  for people affected by psychosis or bipolar disorder. we  seven  and synthesised  from 26  using the consolidated framework for implementation . attitudes and beliefs about  were crucial factors for both staff and service users, with negative attitudes and scepticism  in a lack of motivation to engage with  or complete them. the complexity of the  was a barrier for people with psychiatric symptoms, low premorbid intelligence quotient, or minimal information technology skills. the accessibility and adaptability of  were key facilitators, but insufficient resources, finances, and staff time were barriers to implementation.  need to be user friendly and adaptable to the needs and c of people with psychosis or bipolar disorder, and the staff who support their implementation. service users and staff should cofacilitate the process of developing and implementing the .",2019
